account_age,monthly_spend,TotalCharges,plan_type,PaymentMethod,PaperlessBilling,ContentType,MultiDeviceAccess,DeviceRegistered,ViewingHoursPerWeek,AverageViewingDuration,ContentDownloadsPerMonth,GenrePreference,UserRating,support_tickets,Gender,WatchlistSize,ParentalControl,SubtitlesEnabled,customer_id,churn_label
42,11.32195032980162,475.5219138516681,0,2,1,1,1,3,0.3868523189909584,24.59336128901439,25,1,3.489464519485509,7,0,15,0,0,LOHRYYC9E8,0
95,12.8109146006735,1217.0368870639825,2,2,1,2,0,1,37.122999911467,102.86079509716252,21,1,2.251859954914927,3,1,8,0,1,RIH7RFEZCS,0
6,12.169887642924763,91.58330353602958,2,1,1,2,0,3,30.7169444023015,10.51241512260625,29,3,2.898327886528814,4,1,14,0,1,JB5J8X2UY1,1
54,17.917818962876396,967.5622239953254,0,1,1,1,0,1,2.4953729601821766,45.24683449226995,45,2,1.275003599306649,3,1,12,0,1,Z4GZJIB90P,0
27,12.169887642924763,339.05724384123715,0,3,0,2,0,1,39.93691005346959,94.31095420850131,44,1,3.236229818039165,4,0,18,0,1,B3BDJTW0L9,0
71,12.169887642924763,818.2870537568413,1,1,0,1,1,0,7.310172114483848,123.28079409280006,30,1,2.7796143639640785,6,0,16,1,1,5E4TQK5OVX,0
69,17.145910434759166,1183.0678199983824,0,1,0,1,1,1,19.008899942021955,86.12255889350608,35,4,4.933494480322786,6,0,5,0,1,8VFNZ1M1I9,1
76,17.46187534634668,1327.1025263223478,1,2,0,1,1,1,24.429413494384104,137.5578744789226,32,3,2.1547371507439013,9,0,11,1,1,THKWUHOGUL,0
8,12.169887642924763,614.1966063716278,1,2,0,0,1,0,15.488912506556066,137.55294155226025,16,3,2.898327886528814,3,0,2,0,1,IGZ39O1ROC,0
26,19.69926162787429,512.1808023247314,1,1,1,0,1,1,2.1217624569231868,164.0736426680405,44,2,1.72570039826283,4,1,16,1,1,JHTQYVGRR4,1
102,12.169887642924763,1954.784655794702,1,1,0,1,1,1,38.91923861703344,5.028411809068291,29,1,2.683852930153724,6,1,19,1,1,W636FZ4VNV,1
101,12.169887642924763,639.2830572377612,2,2,0,0,0,0,16.06235631667653,74.34797146927649,11,2,3.836933094328382,2,0,12,1,1,CAS3XBFUJG,0
83,9.270358698753164,769.4397719965126,2,2,0,1,1,3,10.008655029706922,25.531249352094232,32,0,2.5519762065415463,9,1,17,0,1,Y66SW76TPC,1
10,8.078494236284286,614.1966063716278,2,3,0,2,0,1,29.184743436936618,155.7927759665253,0,3,2.898327886528814,2,0,2,0,1,BEREY4ZEQN,0
8,5.72871245000111,45.82969960000888,2,1,0,1,1,0,39.391883816119766,66.40771735757477,38,2,2.898327886528814,0,0,18,0,1,ORSECJMYNH,0
6,13.765035665546437,614.1966063716278,1,2,1,0,1,1,7.054925488966616,45.614267199032,22,0,3.834114298091446,1,0,7,0,1,HI8VKLPO25,0
2,12.169887642924763,15.637027909928785,2,1,0,2,0,3,39.36300166387026,55.83542583110676,43,1,2.0293354975564264,4,1,6,0,1,6RWHGUCAB4,0
83,16.263146505136994,1349.8411599263704,1,0,0,2,0,1,6.3726074194387925,128.5922697932727,23,4,2.898327886528814,7,1,13,1,1,7CC943AY0R,0
23,13.95714485592174,321.0143316862,1,1,1,0,0,3,13.16752730588239,80.1188619906361,0,1,1.8648241717764984,8,1,1,0,1,Y7COZUAXRR,0
