customer_id,account_age,plan_type,payment_method,ViewingHoursPerWeek,AverageViewingDuration,ContentDownloadsPerMonth,GenrePreference,UserRating,support_tickets,monthly_spend,churn_label
LOHRYYC9E8,42,Basic,Electronic check,0.3868523189909584,24.59336128901439,25,Comedy,3.489464519485509,7,11.32195032980162,0
RIH7RFEZCS,95,Standard,Electronic check,37.122999911467,102.86079509716252,21,Comedy,2.251859954914927,3,12.8109146006735,0
JB5J8X2UY1,6,Standard,Credit card,30.7169444023015,10.51241512260625,29,Fantasy,,4,,1
Z4GZJIB90P,54,Basic,,2.4953729601821766,45.24683449226995,45,Drama,1.275003599306649,3,17.917818962876396,0
B3BDJTW0L9,27,Basic,Mailed check,39.93691005346959,94.31095420850131,44,Comedy,3.236229818039165,4,,0
5E4TQK5OVX,71,Premium,Credit card,7.310172114483848,123.28079409280006,30,Comedy,2.7796143639640785,6,,0
8VFNZ1M1I9,69,Basic,,19.008899942021955,86.12255889350608,35,Sci-Fi,4.933494480322786,6,17.145910434759166,1
THKWUHOGUL,76,Premium,Electronic check,24.429413494384104,137.5578744789226,32,Fantasy,2.1547371507439013,9,17.46187534634668,0
IGZ39O1ROC,8,Premium,Electronic check,15.488912506556066,137.55294155226025,16,Fantasy,,3,,0
JHTQYVGRR4,26,Premium,Credit card,2.1217624569231868,164.0736426680405,44,Drama,1.72570039826283,4,19.69926162787429,1
W636FZ4VNV,102,Premium,,38.91923861703344,5.028411809068291,29,,2.683852930153724,6,,1
CAS3XBFUJG,101,Standard,Electronic check,16.06235631667653,74.34797146927649,11,Drama,3.836933094328382,2,,0
Y66SW76TPC,83,Standard,Electronic check,10.008655029706922,25.531249352094232,32,Action,2.5519762065415463,9,9.270358698753164,1
BEREY4ZEQN,10,Standard,Mailed check,29.184743436936618,155.7927759665253,0,Fantasy,,2,8.078494236284286,0
ORSECJMYNH,8,Standard,Credit card,39.391883816119766,66.40771735757477,38,Drama,,0,5.72871245000111,0
HI8VKLPO25,6,Premium,Electronic check,7.054925488966616,45.614267199032,22,Action,3.834114298091446,1,13.765035665546437,0
